Number,Control Objective,Category,Control,Assurance Level,Implementation Guidance,Evidence Recommendations to Validate Implementation,Control Owner,<Target> Status,Notes
SSSC-SC-1.1.1,Securing the Source Code,Verification,Require Signed Commits,Moderate,Sign source code commits and tags to ensure integrity and non-repudiation of code using GPG or s/mime keys,,,,
SSSC-SC-1.2.1,Securing the Source Code,Verification,Enforce full attestation and verification for protected branches,High,Establish attribution of changes to source code via out-of-band mechanism,,,,
SSSC-SC-2.1.1,Securing the Source Code,Automation,Prevent Committing secrets to the repository,Moderate,"Use a credential scanning tool to detect secret leaks including credentials, keys, or tokens",,,,
SSSC-SC-2.2.1,Securing the Source Code,Automation,Define owership for code repository,Low,Define ownership of code repository project inventory methods,,,,
SSSC-SC-2.2.2,Securing the Source Code,Automation,Define owership for code repository,High,"Create and enforce code standards including templates (also .gitignore, .gitattributes) and denylist files to help mitigate injection risks and provide higher assurance",,,,
SSSC-SC-2.3.3,Securing the Source Code,Automation,Automate software security scanning and testing,High,"The metadata from security tooling such as SAST tooling should be recorded and linked to a hash of the build artefact to provide chain of custody and provenance.  Both the coverage and results of these tests should be published as part of the repository information to help downstream consumers of software better assess the stability, reliability,
and/or suitability of a product or library.",,,,
SSSC-SC-3.1.1,Securing the Source Code,Controlled Environments,Establish and adhere to contribution policies,Moderate,"Define configuration options or configuration rules to enforce security, hygiene and operational policies.",,,,
SSSC-SC-3.2.1,Securing the Source Code,Controlled Environments,Define roles aligned to functional responsibilities,Moderate,Define roles and associated access controls based upon the different personas interacting with the source code repositories.,,,,
SSSC-SC-3.3.1,Securing the Source Code,Controlled Environments,Enforce an independent four-eyes principle,Moderate,"Ensure that at least two individuals, of which one should have write access to the branch, that are independent of the request must review and approve commit requests.",,,,
SSSC-SC-3.4.1,Securing the Source Code,Controlled Environments,Use branch protection rules,Moderate,"Enable configuration and restriction of source code operations on individual branches to enforce the usage of pull requests with specified precondition and approval rules for protected repositories, ensuring that a human code review process is followed or an automated status checking of a branch occurs.",,,,
SSSC-SC-3.5.1,Securing the Source Code,Controlled Environments,Validate runtime security of version control system (VCS),Moderate,Ensure that configuration and authentication anomalies are forwarded to organizational Security Information and Event Management (SIEM) systems for evaluation and alerting.,,,,Added
SSSC-SC-3.5.2,Securing the Source Code,Controlled Environments,Validate runtime security of version control system (VCS),Moderate,Perform quarterly tests to ensure that the event detection and alerting system is functioning properly.  Review results to improve detection capabilities.,,,,Added
SSSC-SC-4.1.1,Securing the Source Code,Secure Authentication,Enforce MFA for accessing source code repositories,Moderate,Enforce Multi-factor authentication (MFA) at the source code repository level for software projects.,,,,
SSSC-SC-4.2.1,Securing the Source Code,Secure Authentication,Use SSH keys to provide developers access to source code repositories,Moderate,Use SSH keys to provide developers access to source code repositories,,,,
SSSC-SC-4.3.1,Securing the Source Code,Secure Authentication,Have a key rotation policy,Moderate,Implement a key rotation policy to ensure that compromised keys will cease to be usable after a certain period of time.,,,,
SSSC-SM-1.1.1,Securing Materials,Verification,Verify third party artefacts and open source libraries,Moderate,Any software ingested must be scanned using Software Composition Analysis (SCA) tools to detect whether any vulnerable open-source software is used in the final product.,,,,
SSSC-SM-1.2.1,Securing Materials,Verification,Validate against checksums ,Moderate,All third party artefacts and any other dependencies should validate their checksums against a known good source and validate any cryptographic signatures. ,,,,
SSSC-SM-1.3.1,Securing Materials,Verification,Verify third party artefacts and open source libraries,High,3rd party artefacts should be pen tested to ensure that the software is resistant to standard attacks and no basic security errors or loopholes exist,,,,
SSSC-SM-1.4.1,Securing Materials,Verification,Require SBOM from third party supplier,High,Vendors should be required to provide Software Bills of Materials (SBOMs) containing the explicit details of the software and versions used within the supplied product.,,,,
SSSC-SM-1.5.1,Securing Materials,Verification,Track dependencies between open source components,Moderate,"A register should be maintained of a project’s open source components, dependencies and vulnerabilities to help trace any deployed artefacts with new vulnerabilities.",,,,
SSSC-SM-1.5.2,Securing Materials,Verification,Track dependencies between open source components,Moderate,"Generate and maintain a supply chain inventory to help identify the software vendors, suppliers, and sources used in an organization with the associated software and versions",,,,
